name,rating,rating_values,reviews,jobs,interviews
TCS,3.3,Job Security,1.1L,2.3k,11.8k
Accenture,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",71.5k,40.9k,9.2k
Wipro,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",63.6k,7.6k,6.7k
Cognizant,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",59.9k,666,6.3k
Capgemini,3.7,"Work Life Balance, Job Security",51.6k,2.3k,5.5k
HDFC Bank,3.8,"Job Security, Skill Development / Learning",50.8k,309,2.9k
Infosys,3.5,Job Security,47.4k,2.4k,8.3k
ICICI Bank,4.0,"Job Security, Promotions / Appraisal, Skill Development / Learning",45.1k,22,2.9k
HCLTech,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",44.6k,297,4.5k
Tech Mahindra,3.4,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",42.4k,581,4.5k
Genpact,3.6,Job Security,41k,1.6k,3.8k
Teleperformance,3.8,Na,36.7k,1.5k,2.2k
Jio,4.4,"Job Security, Skill Development / Learning, Company Culture",32.7k,3,4k
Axis Bank,3.6,"Promotions / Appraisal, Work Satisfaction, Company Culture",32.4k,205,1.9k
Concentrix Corporation,3.6,Job Security,31.5k,56,2k
Amazon,3.9,"Company Culture, Work Life Balance, Salary & Benefits",30.8k,1.9k,5.8k
iEnergizer,4.6,"Company Culture, Job Security, Skill Development / Learning",27.1k,86,1.1k
Reliance Retail,3.9,"Job Security, Skill Development / Learning, Work Life Balance",27k,135,1.9k
LTIMindtree,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",25.9k,532,3.4k
IBM,3.9,"Work Life Balance, Company Culture, Job Security",25.3k,2.2k,2.6k
HDB Financial Services,3.9,"Job Security, Skill Development / Learning",25.2k,225,1.1k
Larsen & Toubro Limited,3.9,"Job Security, Skill Development / Learning",23.3k,197,1.8k
Deloitte,3.7,Job Security,22.4k,1.5k,3.3k
Kotak Mahindra Bank,3.6,"Promotions / Appraisal, Work Satisfaction, Company Culture",21.9k,128,1.4k
Reliance Industries,4.0,"Job Security, Skill Development / Learning, Work Life Balance",19.8k,67,1.6k
Vodafone Idea,3.9,"Salary & Benefits, Company Culture, Work Life Balance",17.4k,63,674
Bharti Airtel,3.8,Promotions / Appraisal,16.8k,164,1.1k
BYJU'S,3.2,"Job Security, Work Life Balance, Company Culture",16.4k,--,2.1k
WNS,3.3,"Promotions / Appraisal, Salary & Benefits, Company Culture",14.8k,132,1.2k
IDFC FIRST Bank,3.9,"Salary & Benefits, Skill Development / Learning",14.1k,27,923
Ernst & Young,3.4,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",14k,4.3k,1.3k
Tata Motors,4.1,"Job Security, Company Culture, Work Life Balance",14k,183,1.2k
IndusInd Bank,3.4,"Promotions / Appraisal, Company Culture, Work Satisfaction",13.9k,103,758
AU Small Finance Bank,3.9,"Skill Development / Learning, Salary & Benefits",13.9k,103,676
Bajaj Finserv,3.9,"Salary & Benefits, Skill Development / Learning, Job Security",12.7k,10,721
